classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
OpenML-CC18,cmc,Mixed,et,Accuracy,1473,9,0.4986486,0.008810050130390878,0.47359999999999997
OpenML-CC18,cmc,Mixed,rf,Accuracy,1473,9,0.5364866,0.009065168658111125,0.4808
OpenML-CC18,cmc,Mixed,rotf,Accuracy,1473,9,0.5121624,0.00565295323702576,1.8344999999999998
OpenML-CC18,credit-approval,Mixed,et,Accuracy,690,15,0.8637678000000001,0.007938143025922368,0.29657999999999995
OpenML-CC18,credit-approval,Mixed,rf,Accuracy,690,15,0.8956520000000001,0.018896099915061845,0.37388
OpenML-CC18,credit-approval,Mixed,rotf,Accuracy,690,15,0.863768,0.016524211615081677,1.9980999999999998
OpenML-CC18,credit-g,Mixed,et,Accuracy,1000,20,0.808,0.013038404810405276,0.37092
OpenML-CC18,credit-g,Mixed,rf,Accuracy,1000,20,0.798,0.019235384061671287,0.43612
OpenML-CC18,credit-g,Mixed,rotf,Accuracy,1000,20,0.788,0.017888543819998333,3.10038
OpenML-CC18,diabetes,Continuous,et,Accuracy,768,8,0.7948054,0.03603746247032387,0.28634
OpenML-CC18,diabetes,Continuous,rf,Accuracy,768,8,0.8233767999999999,0.026930416385566695,0.39690000000000003
OpenML-CC18,diabetes,Continuous,rotf,Accuracy,768,8,0.831169,0.020534249986303356,1.0555400000000001
OpenML-CC18,eucalyptus,Mixed,et,Accuracy,736,19,0.6081082,0.009555487491488874,0.35474
OpenML-CC18,eucalyptus,Mixed,rf,Accuracy,736,19,0.672973,0.025993892215287816,0.41544
OpenML-CC18,eucalyptus,Mixed,rotf,Accuracy,736,19,0.645946,0.022204976773237135,3.9287
OpenML-CC18,isolet,Continuous,et,Accuracy,7797,617,0.9441027999999999,0.0033430469933878938,6.50382
OpenML-CC18,isolet,Continuous,rf,Accuracy,7797,617,0.9312818,0.0034637732604776124,27.88644
OpenML-CC18,isolet,Continuous,rotf,Accuracy,7797,617,0.9405132,0.002951385640677966,1525.66568
OpenML-CC18,jm1,Continuous,et,Accuracy,10885,21,0.8203856,0.004884878176577151,1.9152999999999998
OpenML-CC18,jm1,Continuous,rf,Accuracy,10885,21,0.8192838,0.006173429492591606,3.77916
OpenML-CC18,jm1,Continuous,rotf,Accuracy,10885,21,0.8231406,0.002394733137533244,31.10122
OpenML-CC18,kc1,Continuous,et,Accuracy,2109,21,0.878673,0.0025962049225744716,0.41974
OpenML-CC18,kc1,Continuous,rf,Accuracy,2109,21,0.8691943999999999,0.007187444977180678,0.62634
OpenML-CC18,kc1,Continuous,rotf,Accuracy,2109,21,0.8796208,0.004239193578972299,3.75706
OpenML-CC18,kc2,Continuous,et,Accuracy,522,21,0.8075474,0.01578610138064492,0.23252
OpenML-CC18,kc2,Continuous,rf,Accuracy,522,21,0.7773586,0.00843802611989316,0.3402
OpenML-CC18,kc2,Continuous,rotf,Accuracy,522,21,0.7886794,0.008438026119893206,1.19746
OpenML-CC18,kr-vs-kp,Categorical,et,Accuracy,3196,36,0.991875,0.0017116329922036635,0.5784800000000001
OpenML-CC18,kr-vs-kp,Categorical,rf,Accuracy,3196,36,0.991875,0.0017116329922036635,0.56002
OpenML-CC18,kr-vs-kp,Categorical,rotf,Accuracy,3196,36,0.99375,0.0,3.4202799999999995
